Type de recettes;Année;Code Compte;Libellé du compte;Code Section;Libellé de la section;Code Ligne Recettes ;Libellé Ligne Recette;Montant Recettes PLF 2025;Prévisions  Recettes 2026;Prévisions Recettes 2027
Recettes Compte de commerce;2025.0;907.0;Opérations commerciales des domaines;;;907-0-18;Zone des cinquante pas géométriques dans les départements de la Guadeloupe et de la Martinique;500000.0;500000.0;500000.0
Recettes Compte de commerce;2025.0;907.0;Opérations commerciales des domaines;;;907-0-11;Ventes mobilières;40000000.0;40000000.0;40000000.0
Recettes Compte de commerce;2025.0;915.0;Soutien financier au commerce extérieur;915-1;Assurance-crédit et assurance-investissement;915-1-12;Récupérations;137000000.0;310000000.0;273000000.0
Recettes Compte de commerce;2025.0;907.0;Opérations commerciales des domaines;;;907-0-16;Gestion des cités administratives;36000000.0;36000000.0;36000000.0
Recettes Compte d'opération monétaire;2025.0;953.0;Pertes et bénéfices de change;;;953-0-10;Recettes;25000000.0;25000000.0;25000000.0
Recettes Compte de commerce;2025.0;915.0;Soutien financier au commerce extérieur;915-6;Financement de la construction navale;915-6-62;Récupérations;0.0;6000000.0;3000000.0
Recettes Compte de commerce;2025.0;903.0;Gestion de la dette et de la trésorerie de l'État;903-1;Opérations relatives à la dette primaire et gestion de la trésorerie;903-1-15;Gestion de la trésorerie : rémunération des prêts à court terme et des pensions sur titre d'État;666000000.0;639000000.0;643000000.0
Recettes Compte de commerce;2025.0;912.0;Cantine et travail des détenus dans le cadre pénitentiaire;912-1;Cantine des détenus;912-1-12;Ventes de prestations de services de cantine;19000000.0;19000000.0;19000000.0
Recettes Compte de commerce;2025.0;902.0;Exploitations industrielles des ateliers aéronautiques de l'État;;;902-0-11;Cessions à des départements ministériels;751350000.0;759550000.0;760750000.0
Recettes Compte de commerce;2025.0;915.0;Soutien financier au commerce extérieur;915-6;Financement de la construction navale;915-6-61;Primes;6000000.0;0.0;0.0
Recettes Compte de commerce;2025.0;901.0;Approvisionnement de l'État et des forces armées en produits pétroliers et énergies alternatives, biens et services complémentaires;;;901-0-12;Cessions de produits aux autres clients;121182873.0;124195720.0;128887073.0
Recettes Compte de commerce;2025.0;912.0;Cantine et travail des détenus dans le cadre pénitentiaire;912-2;Travail des détenus en milieu pénitentiaire;912-2-23;Versements du budget général;3000000.0;3000000.0;3500000.0
Recettes Compte de commerce;2025.0;909.0;Régie industrielle des établissements pénitentiaires;;;909-0-11;Versements des services du ministère de la justice;17000000.0;18400000.0;18400000.0
Recettes Compte de commerce;2025.0;912.0;Cantine et travail des détenus dans le cadre pénitentiaire;912-2;Travail des détenus en milieu pénitentiaire;912-2-21;Produits du travail des détenus;52000000.0;53000000.0;54500000.0
Recettes Compte d'opération monétaire;2025.0;951.0;Émission des monnaies métalliques;;;951-0-10;Recettes;197600000.0;197600000.0;197600000.0
Recettes Compte de commerce;2025.0;915.0;Soutien financier au commerce extérieur;915-1;Assurance-crédit et assurance-investissement;915-1-11;Primes et commissions d'engagement;365000000.0;495000000.0;485000000.0
Recettes Compte de commerce;2025.0;915.0;Soutien financier au commerce extérieur;915-2;Assurance-prospection;915-2-26;Versements du budget général;70000000.0;60000000.0;60000000.0
Recettes Compte de commerce;2025.0;902.0;Exploitations industrielles des ateliers aéronautiques de l'État;;;902-0-20;Recettes diverses ou exceptionnelles;3800000.0;3800000.0;3800000.0
Recettes Compte de commerce;2025.0;901.0;Approvisionnement de l'État et des forces armées en produits pétroliers et énergies alternatives, biens et services complémentaires;;;901-0-11;Cessions de produits aux clients relevant du ministère de la défense;850169889.0;871898506.0;905732483.0
Recettes Compte de commerce;2025.0;903.0;Gestion de la dette et de la trésorerie de l'État;903-1;Opérations relatives à la dette primaire et gestion de la trésorerie;903-1-14;Gestion de la trésorerie : rémunération du compte courant du Trésor à la Banque de France;4000000.0;4000000.0;4000000.0
Recettes Compte de commerce;2025.0;907.0;Opérations commerciales des domaines;;;907-0-19;Opérations réalisées en application de décisions de justice;6000000.0;6000000.0;6000000.0
Recettes Compte de commerce;2025.0;901.0;Approvisionnement de l'État et des forces armées en produits pétroliers et énergies alternatives, biens et services complémentaires;;;901-0-13;Recettes relatives aux instruments financiers utiles à la couverture des variations du prix des approvisionnements en produits pétroliers;6219856.0;5623991.0;0.0
Recettes Compte de commerce;2025.0;910.0;Couverture des risques financiers de l'État;;;910-0-12;Flux financiers reçus des contreparties financières;426000000.0;0.0;0.0
Recettes Compte de commerce;2025.0;909.0;Régie industrielle des établissements pénitentiaires;;;909-0-13;Clients divers;16500000.0;17300000.0;17300000.0
Recettes Compte de commerce;2025.0;912.0;Cantine et travail des détenus dans le cadre pénitentiaire;912-1;Cantine des détenus;912-1-14;Versements du budget général;8000000.0;8000000.0;8000000.0
Recettes Compte de commerce;2025.0;915.0;Soutien financier au commerce extérieur;915-5;Risque exportateur;915-5-56;Versements du budget général;13000000.0;2000000.0;2000000.0
Recettes Compte de commerce;2025.0;915.0;Soutien financier au commerce extérieur;915-2;Assurance-prospection;915-2-21;Primes;8000000.0;8000000.0;8000000.0
Recettes Compte de commerce;2025.0;910.0;Couverture des risques financiers de l'État;;;910-0-11;Versements en provenance des programmes ou comptes bénéficiaires, au titre de l'acquisition des instruments de couverture des risques;426000000.0;0.0;0.0
Recettes Compte de commerce;2025.0;902.0;Exploitations industrielles des ateliers aéronautiques de l'État;;;902-0-12;Vente à des clients;20000000.0;20000000.0;20000000.0
Recettes Compte de commerce;2025.0;915.0;Soutien financier au commerce extérieur;915-7;Cap Francexport et Cap Francexport +;915-7-72;Récupérations;0.0;1000000.0;1000000.0
Recettes Compte de commerce;2025.0;909.0;Régie industrielle des établissements pénitentiaires;;;909-0-12;Versements d'autres administrations, collectivités, organismes et établissements publics;3850000.0;3950000.0;4000000.0
Recettes Compte de commerce;2025.0;915.0;Soutien financier au commerce extérieur;915-2;Assurance-prospection;915-2-22;Récupérations;40000000.0;40000000.0;40000000.0
Recettes Compte de commerce;2025.0;915.0;Soutien financier au commerce extérieur;915-8;Stabilisation de taux;915-8-81;Intérêts favorables sur stabilisation en euros;102000000.0;157000000.0;210000000.0
Recettes Compte de commerce;2025.0;912.0;Cantine et travail des détenus dans le cadre pénitentiaire;912-1;Cantine des détenus;912-1-11;Ventes de biens de cantine;126000000.0;127000000.0;128000000.0
Recettes Compte de commerce;2025.0;903.0;Gestion de la dette et de la trésorerie de l'État;903-1;Opérations relatives à la dette primaire et gestion de la trésorerie;903-1-11;Dette négociable : coupons courus des OAT;4597000000.0;5643000000.0;6471000000.0
Recettes Compte de commerce;2025.0;915.0;Soutien financier au commerce extérieur;915-7;Cap Francexport et Cap Francexport +;915-7-71;Primes;2000000.0;2000000.0;2000000.0
Recettes Compte de commerce;2025.0;904.0;Lancement de certains matériels de guerre et matériels assimilés;;;904-0-10;Recettes;4764589.0;9472457.0;11502440.0
Recettes Compte de commerce;2025.0;903.0;Gestion de la dette et de la trésorerie de l'État;903-1;Opérations relatives à la dette primaire et gestion de la trésorerie;903-1-19;Versement du budget général;54899000000.0;60060000000.0;69583000000.0
